,user_id,age,gender,name,address,pos1,pos2,user_rating
0,1,18,Мужской,Fox,"Парк Фили, Большая Филёвская улица, 22 ст16а, Москва",37.490661,55.750929,5
1,1,18,Мужской,Кремлёвский,"1-я Тверская-Ямская улица, 3 ст1, Москва",37.594379,55.770681,2
2,1,18,Мужской,Soul Burger,"Большой Сухаревский переулок, 25 ст1, Москва",37.632115,55.770884,5
3,2,22,Мужской,МУ-МУ,"Казанский вокзал, Комсомольская площадь, 2, Москва",37.656479,55.773491,3
4,2,22,Мужской,Москва-Дели,"Ермолаевский переулок, 7, Москва",37.590505,55.764352,5
5,2,22,Мужской,Краснодарский Парень,"Бутырская улица, 46 ст1, Москва",37.585071,55.799708,5
6,2,22,Мужской,PARKHOUSE,"Парк Северного речного вокзала, Ленинградское шоссе, 57 к2, Москва",37.465555,55.854898,5
7,2,22,Мужской,Vasilchuki chaihona №1,"Улица Большая Полянка, 56 ст1, Москва",37.622015,55.730742,3
8,2,22,Мужской,Ботаника,"Улица Большая Грузинская, 61 ст1, Москва",37.58444,55.772194,5
9,2,22,Мужской,Nagoya,"Большая Серпуховская улица, 8/7 ст2, Москва",37.624002,55.728702,3
10,2,22,Мужской,Amico Bistro,"Улица Остоженка, 30 ст1, Москва",37.59629,55.739972,4
11,2,22,Мужской,Metafora bar,"Улица Маросейка, 6-8 ст1, Москва",37.634602,55.757222,3
12,2,22,Мужской,Этажерка,"Проспект Жуковского, 4 ст1, Балашиха, Московская область",37.960522,55.754641,2
13,3,24,Мужской,Кот Ч,"ТЦ Малой, Ратная улица, 16 к3, Москва",37.571004,55.577342,5
14,3,24,Мужской,Liberty,"Славянская площадь, 2/5/4 ст3, Москва",37.634172,55.753357,5
15,3,24,Мужской,Faiza,"Азовская улица, 18, Москва",37.597654,55.656046,1
16,3,24,Мужской,Dry&wet,"Тверская улица, 27 ст1, Москва",37.597941,55.76847,5
17,3,24,Мужской,Beverly hills diner,"Улица Сретенка, 1, Москва",37.631193,55.766609,4
18,4,21,Мужской,The Бык,"ТДЦ ВЭБ.РФ, Новинский бульвар, 31, Москва",37.58264,55.757811,3
19,4,21,Мужской,Kalabasa,"Набережная Академика Туполева, 15 к26, Москва",37.67971,55.762574,3
20,4,21,Мужской,Soho Rooms,"Московский шёлк, Большой Саввинский переулок, 12 ст8, Москва",37.56214,55.732552,5
21,4,21,Мужской,Полигон Холл,"Олимпик Холл, Олимпийский проспект, 16 ст5, Москва",37.624456,55.783968,1
22,4,21,Мужской,АндерСон,"Таганская улица, 36, Москва",37.6664,55.739387,3
23,4,21,Мужской,The Бык,"ТДЦ ВЭБ.РФ, Новинский бульвар, 31, Москва",37.58252,55.75783,5
24,4,21,Мужской,Моремания,"Улица Житная, 4, Москва",37.622323,55.730243,2
25,4,21,Мужской,Pauwel kwak,"Улица Покровка, 2/1, Москва",37.63944,55.757692,5
26,5,22,Мужской,VK GIPSY,"Красный Октябрь, Болотная набережная, 3 ст1, Москва",37.610143,55.739808,5
27,5,22,Мужской,Дружба,"ТЦ На Суздальской;, Суздальская улица, 12а, Москва",37.846627,55.738046,1
28,5,22,Мужской,Miraclub,"Парк Центральный, улица Мира, ст2Б, Мытищи, Московская область",37.743929,55.908318,5
29,5,22,Мужской,Friends Forever Botanica,"Аптекарский огород, проспект Мира, 26 ст1, Москва",37.633514,55.777714,4
30,5,22,Мужской,Нияма,"Воронцовская улица, 2/10 ст1, Москва",37.654308,55.740625,4
31,5,22,Мужской,Aroma espresso,"Улица Красина, 3 ст1, Москва",37.588913,55.76646,4
32,5,22,Мужской,Эль Гаучито,"Времена года, Кутузовский проспект, 48, Москва",37.488226,55.731917,2
33,6,23,Мужской,Tematika,"ТехноПарк, Автозаводская улица, 23 ст931 к2, Москва",37.657176,55.689802,5
34,6,23,Мужской,Blondie,"Улица Большая Дмитровка, 10 ст4, Москва",37.615024,55.761249,5
35,6,23,Мужской,Сыто пьяно,"Улица Неглинная, 18 ст1, Москва",37.620855,55.765462,2
36,6,23,Мужской,Дом в котором,"Улица Покровка, 14/2 ст3, Москва",37.645429,55.758628,5
37,6,23,Мужской,Saperavi,"1-я Тверская-Ямская улица, 27, Москва",37.585696,55.775704,4
38,6,23,Мужской,The Waterfront,"Улица Большая Полянка, 51а, Москва",37.620596,55.732225,5
39,6,23,Мужской,Клуб Алексея Козлова,"Улица Маросейка, 9/2 ст1, Москва",37.634479,55.757759,4
40,6,23,Мужской,Чифанька,"Большой Трёхсвятительский переулок, 2/1 ст8, Москва",37.642991,55.754882,5
41,6,23,Мужской,Geisha Superman,"Улица Малая Бронная, 2 ст1, Москва",37.5983,55.759026,4
42,7,20,Мужской,Литали,"Большая Спасская улица, 13 ст1, Москва",37.639593,55.774073,5
43,7,20,Мужской,Моремания,"ТЦ На Страстном, Страстной бульвар, 8а, Москва",37.610842,55.766228,4
44,7,20,Мужской,Шоколадница,"ВДНХ, 2-я Останкинская улица, 3, Москва",37.627218,55.825848,1
45,7,20,Мужской,Дружба,"БП Трёхгорная мануфактура, улица Рочдельская, 15 ст30, Москва",37.561523,55.755835,3
46,7,20,Мужской,Руки Вверх!,"Нижегородская улица, 2 к1, Москва",37.674508,55.738465,3
47,8,20,Мужской,Ташкент Сити,"Минская улица, 6 к3, Москва",37.488389,55.73455,1
48,8,20,Мужской,Arch 1908,"Ермолаевский переулок, 4, Москва",37.589758,55.76317,3
49,8,20,Мужской,Папа Вейдер,"Большой Златоустинский переулок, 3/5 ст1, Москва",37.633051,55.759187,3
